lead_id,company_name,industry,lead_source,sales_rep,region,created_date,current_stage,stage_last_updated,last_contact_date,deal_value,lost_reason,notes
LD1026,PT. Nusantara Jaya,Retail,LinkedIn,Budi Santoso,,2025-05-03,Lead In,2025-06-18,2025-06-29,,,Follow up next week
LD1027,PT Mitra Sejahtera,Retail,Referral,Yuni Shara,Jakarta,2024-10-12,Proposal Sent,2025-01-31,2025-12-01,126395000.0,,Follow up next week
LD1028,PT Maju Terus,Retail,Website,,Jakarta,2025-03-07,Contacted,2025-03-18,2025-03-14,,,
LD1029,UD Bumi Perkasa,Construction,Cold Call,Andi Wijaya,Denpasar,2024-04-27,Proposal Sent,2024-05-25,2024-05-22,39924000.0,,Follow up next week
LD1030,PT. Central Distribusi,Logistics,Cold Call,,,2024-03-05,Negotiation,2024-07-15,2024-05-22,56844000.0,,VIP client
LD1031,PT. SEJAHTERA BERSAMA,Logistics,,Rina Marlina,Jakarta,2025-05-10,Qualified,2025-07-25,2025-06-06,14826000.0,,Waiting for PO
LD1032,PT Mitra Sejahtera,Manufacturing,Trade Show,Dewi Lestari,Bandung,2024-01-11,Proposal Sent,2024-02-05,2024-02-17,114208000.0,,VIP client
LD1033,UD Delta Solusi,Manufacturing,Email Campaign,Andi Wijaya,Bandung,2024-12-26,Negotiation,2025-01-30,2025-01-07,36120000.0,,Client on vacation
LD1034,CV Central Distribusi,Logistics,Website,Andi Wijaya,Bandung,2024-07-10,Lead In,2024-10-14,2024-10-22,,,
LD1035,CV Bumi Perkasa,Retail,Trade Show,Andi Wijaya,Makassar,2024-03-07,Qualified,2024-03-17,2024-03-14,122049000.0,,Needs approval from board
LD1036,CV Sinar Jaya,Logistics,Referral,Budi Santoso,Medan,2025-03-15,Qualified,2025-03-06,2025-06-11,144096000.0,,Waiting for PO
LD1037,CV Global Teknindo,Education,Website,Budi Santoso,Jakarta,2024-03-13,Negotiation,2024-04-16,2024-04-20,140183000.0,,
LD1038,PT Mitra Sejahtera,Retail,Inbound Call,Andi Wijaya,Makassar,2024-11-07,Negotiation,2024-12-12,2024-12-25,7899000.0,,Waiting for PO
LD1039,PT Sinar Jaya,Manufacturing,LinkedIn,Yuni Shara,Bandung,2025-03-28,Closed Won,2025-04-21,2025-04-22,145420000.0,,VIP client
LD1040,PT Cipta Karya,Healthcare,Website,Dewi Lestari,Yogyakarta,2024-11-27,Contacted,2025-01-18,2025-01-29,,,
LD1041,PT. Mitra Sejahtera,Manufacturing,,Siti Nurhaliza,Semarang,2025-03-24,Closed Won,2025-05-26,2025-04-12,146026000.0,,Waiting for PO
LD1042,CV Mega Trading,Construction,Referral,Siti Nurhaliza,Bandung,2025-04-28,Contacted,2025-08-07,2025-10-06,,,VIP client
LD1043,CV Berkah Mandiri,Healthcare,Referral,Ahmad Fauzi,Jakarta,2025-08-24,Proposal Sent,2025-11-17,2025-11-27,53078000.0,,Needs approval from board
LD1044,CV Nusantara Jaya,Education,Referral,Siti Nurhaliza,Semarang,2024-09-05,Proposal Sent,2024-07-24,2024-06-21,16757000.0,,Needs approval from board
LD1045,PT. Bumi Perkasa,F&B,LinkedIn,Siti Nurhaliza,Semarang,2024-11-20,Proposal Sent,2025-01-22,2024-12-28,95412000.0,,
LD1046,CV Central Distribusi,Manufacturing,Referral,Dewi Lestari,Semarang,2025-01-18,Qualified,2025-02-19,2025-02-03,85757000.0,,
LD1047,UD Nusantara Jaya,Construction,Social Media,Rudi Hartono,Surabaya,2024-10-06,Lead In,2024-07-25,2024-03-08,,,Follow up next week
LD1048,PT Delta Solusi,,,Budi Santoso,Makassar,2024-10-29,Lead In,2025-01-22,2024-12-31,,,Waiting for PO
LD1049,PT Prima Nusantara,,Website,Andi Wijaya,Bandung,2024-08-12,Proposal Sent,2024-10-31,,113825000.0,,Waiting for PO
LD1050,UD Harapan Baru,Logistics,Cold Call,Andi Wijaya,Bandung,2024-07-24,Contacted,2024-10-02,2024-08-30,,,Client on vacation
LD1051,PT Tunas Muda,Retail,LinkedIn,,Bandung,2024-08-19,Closed Won,2024-11-14,2024-10-06,56135000.0,,Client on vacation
LD1052,PT Cahaya Abadi,Technology,Social Media,Siti Nurhaliza,Jakarta,2025-07-28,Qualified,2025-10-15,,136589000.0,,Send revised proposal
LD1053,UD Anugrah Sentosa,Manufacturing,Referral,Rina Marlina,Jakarta,2025-08-24,Negotiation,2025-09-13,2025-09-16,93117000.0,,Client on vacation
LD1054,PT Cahaya Abadi,Retail,Referral,Andi Wijaya,,2025-04-10,Lead In,2025-05-08,,,,VIP client
LD1055,PT Maju Terus,Retail,Referral,Andi Wijaya,Bandung,2024-12-02,Negotiation,2024-11-29,2024-12-24,148154000.0,,
LD1056,UD Tunas Muda,Construction,Website,Budi Santoso,Semarang,2025-05-02,Qualified,2025-06-18,2025-05-29,18140000.0,,Send revised proposal
LD1057,PT. Harapan Baru,Manufacturing,Website,Siti Nurhaliza,,2024-11-25,Proposal Sent,2024-12-04,2024-12-15,107399000.0,,VIP client
LD1058,PT. Mitra Sejahtera,Manufacturing,Website,Siti Nurhaliza,Medan,2024-08-21,Qualified,2024-10-19,2024-07-10,48253000.0,,VIP client
LD1059,CV Karya Utama,Finance,Referral,Siti Nurhaliza,Bandung,2024-05-05,Qualified,2024-07-30,,9614000.0,,Waiting for PO
LD1060,UD Sumber Makmur,Healthcare,LinkedIn,Rudi Hartono,Bandung,2025-07-24,Lead In,2025-10-17,2025-07-24,,,
LD1061,PT. Tunas Muda,Healthcare,Cold Call,Rudi Hartono,Palembang,2024-02-01,Lead In,2024-04-09,2024-04-13,,,
LD1062,PT. Harapan Baru,Retail,Website,Dewi Lestari,Medan,2024-10-05,Qualified,2024-11-29,,67423000.0,,Waiting for PO
LD1063,UD Mitra Sejahtera,Retail,LinkedIn,Budi Santoso,Medan,2024-10-23,Qualified,2024-10-24,2024-11-06,65737000.0,,Client on vacation
LD1064,CV Mega Trading,Construction,LinkedIn,Rina Marlina,Jakarta,2024-10-23,Contacted,2024-10-26,2024-10-26,,,
LD1065,PT Harapan Baru,,,Rina Marlina,Bandung,2024-12-13,Contacted,2025-01-04,2024-12-22,,,
LD1066,PT. Delta Solusi,Manufacturing,Partner,Rina Marlina,,2024-03-18,Contacted,2024-07-06,2024-04-27,,,
LD1067,PT Mega Trading,Finance,Trade Show,Yuni Shara,Makassar,2024-02-27,Qualified,2024-03-08,2024-03-23,68883000.0,,
LD1068,CV Tunas Muda,F&B,Email Campaign,Budi Santoso,Makassar,2025-02-05,Proposal Sent,2025-05-10,2025-05-13,122023000.0,,Waiting for PO
LD1069,PT. Prima Nusantara,F&B,,,Makassar,2024-08-12,Lead In,2024-12-21,,,,
LD1070,UD Sumber Makmur,Logistics,Referral,Dewi Lestari,Bandung,2024-12-05,Proposal Sent,2024-05-23,2024-05-18,57749000.0,,
LD1071,CV TUNAS MUDA,Technology,Cold Call,,Palembang,2025-07-06,Closed Won,2025-12-09,2025-08-31,21395000.0,,Send revised proposal
LD1072,CV Global Teknindo,Manufacturing,Social Media,Rina Marlina,Yogyakarta,2024-07-17,Qualified,2024-09-29,2024-09-21,58517000.0,,Waiting for PO
LD1073,CV Tunas Muda,Construction,Website,Ahmad Fauzi,Jakarta,2025-09-06,Contacted,2025-08-04,2025-08-12,,,Needs approval from board
LD1074,CV Central Distribusi,Education,Website,Siti Nurhaliza,Jakarta,2024-11-22,Closed Lost,2025-02-14,2024-12-19,,,
LD1075,PT. Mitra Sejahtera,Retail,Social Media,Andi Wijaya,Yogyakarta,2024-04-11,Contacted,2024-12-05,2024-12-14,,,Follow up next week
LD1076,PT Harapan Baru,Finance,Website,Budi Santoso,Yogyakarta,2024-12-27,Contacted,2025-02-19,2025-01-03,,,Needs approval from board
LD1077,UD Sinar Jaya,Logistics,Inbound Call,Yuni Shara,Palembang,2024-09-16,Negotiation,2024-11-01,2024-10-26,94982000.0,,
LD1078,UD Prima Nusantara,Education,,Budi Santoso,Semarang,2024-07-25,Lead In,2024-08-20,2024-07-27,,,Follow up next week
LD1079,UD Mitra Sejahtera,F&B,Website,Ahmad Fauzi,Makassar,2024-07-05,Negotiation,2024-02-07,2024-07-15,112010000.0,,
LD1080,PT Maju Terus,Retail,Trade Show,Rudi Hartono,Denpasar,2025-03-12,Contacted,2025-05-08,2025-03-21,,,Needs approval from board
LD1081,UD Maju Terus,F&B,Partner,Budi Santoso,Makassar,2025-03-24,Lead In,2025-04-02,2025-04-14,,,Client on vacation
LD1082,PT Global Teknindo,Retail,LinkedIn,Yuni Shara,Surabaya,2025-06-26,Qualified,2025-08-06,2025-07-14,110880000.0,,Send revised proposal
LD1083,UD Prima Nusantara,Healthcare,LinkedIn,,Jakarta,2024-06-25,Closed Won,2024-08-21,2024-08-29,148013000.0,,Follow up next week
LD1084,PT. Harapan Baru,F&B,Trade Show,Andi Wijaya,Jakarta,2025-01-04,Proposal Sent,2025-02-21,2025-02-13,147486000.0,,Send revised proposal
LD1085,CV Sejahtera Bersama,Education,Referral,Rina Marlina,Yogyakarta,2025-07-18,Proposal Sent,2025-08-11,2025-07-23,21097000.0,,VIP client
LD1086,PT MITRA SEJAHTERA,Manufacturing,Inbound Call,Andi Wijaya,Bandung,2024-04-05,Proposal Sent,2024-04-27,2024-04-18,94423000.0,,Needs approval from board
LD1087,PT. Central Distribusi,Healthcare,Cold Call,Andi Wijaya,Jakarta,2024-10-23,Proposal Sent,2024-01-12,2024-12-07,121094000.0,,Client on vacation
LD1088,UD Tunas Muda,Construction,Website,Budi Santoso,Bandung,2025-07-29,Contacted,2025-08-29,2025-09-06,,,
LD1089,CV Delta Solusi,Retail,Website,Rudi Hartono,Semarang,2024-06-12,Proposal Sent,2024-08-17,2024-11-08,15327000.0,,
LD1090,PT. Cipta Karya,Manufacturing,Partner,,Makassar,2025-09-01,Negotiation,2025-02-25,2025-01-17,55654000.0,,Needs approval from board
LD1091,PT CAHAYA ABADI,Logistics,LinkedIn,Rina Marlina,,2024-05-27,Contacted,2024-01-08,2024-08-01,,,
LD1092,UD Delta Solusi,Logistics,,Budi Santoso,Yogyakarta,2024-11-22,Contacted,2025-09-02,2025-02-20,,,Send revised proposal
LD1093,CV Harapan Baru,Manufacturing,Partner,Ahmad Fauzi,Jakarta,2025-03-02,Proposal Sent,2025-05-30,,90343000.0,,
LD1094,PT. Cahaya Abadi,Healthcare,Email Campaign,Dewi Lestari,Yogyakarta,2025-03-04,Contacted,2025-06-01,2025-05-27,,,Needs approval from board
LD1095,UD Berkah Mandiri,Technology,Cold Call,Rudi Hartono,Palembang,2024-12-16,Proposal Sent,2025-03-13,2025-03-14,104610000.0,,Client on vacation
LD1096,PT Maju Terus,Logistics,Inbound Call,Rudi Hartono,Palembang,2024-05-04,Proposal Sent,2024-07-13,2024-05-31,147064000.0,,VIP client
LD1097,PT. Sejahtera Bersama,F&B,Website,,,2024-04-21,Proposal Sent,2024-07-06,2024-04-21,9513000.0,,
LD1098,CV Cahaya Abadi,,Trade Show,Yuni Shara,Jakarta,2024-10-21,Qualified,2025-01-12,2024-11-27,115771000.0,,
LD1099,UD Sinar Jaya,F&B,Inbound Call,Rudi Hartono,Palembang,2024-10-18,Qualified,2025-01-09,2024-10-19,127957000.0,,Waiting for PO
LD1100,UD Indo Sukses,Education,,Rudi Hartono,Bandung,2025-02-19,Closed Won,2025-04-26,2025-05-04,147289000.0,,
LD1101,UD Maju Terus,F&B,Referral,Andi Wijaya,Semarang,2024-05-01,Qualified,2024-05-22,2024-05-30,106126000.0,,
LD1102,PT Cahaya Abadi,Finance,Email Campaign,Dewi Lestari,Makassar,2024-08-11,Negotiation,2024-11-07,2024-08-30,68119000.0,,VIP client
LD1103,UD Sumber Makmur,Technology,,Budi Santoso,Palembang,2024-04-03,Closed Won,2024-05-31,,69108000.0,,Client on vacation
LD1104,PT. Indo Sukses,Finance,Inbound Call,,,2024-03-11,Closed Lost,2024-05-11,2024-03-28,115342000.0,Timing not right,
LD1105,CV Tunas Muda,Manufacturing,Cold Call,Dewi Lestari,Palembang,2024-05-10,Negotiation,2024-06-08,2024-05-12,70525000.0,,Needs approval from board
LD1106,PT Berkah Mandiri,Finance,Trade Show,Yuni Shara,Surabaya,2024-09-03,Contacted,2024-03-14,2024-03-15,,,
LD1107,CV Nusantara Jaya,Manufacturing,Website,Rina Marlina,Denpasar,2024-11-22,Proposal Sent,2025-02-17,2025-09-01,37062000.0,,Client on vacation
LD1108,CV Prima Nusantara,Finance,Referral,Yuni Shara,Jakarta,2025-01-20,Contacted,2025-03-30,2025-03-13,,,VIP client
LD1109,PT. Mega Trading,Retail,,Siti Nurhaliza,Surabaya,2024-07-27,Qualified,2024-07-08,2024-08-19,127376000.0,,Follow up next week
LD1110,UD Prima Nusantara,Education,Email Campaign,,Bandung,2024-08-04,Closed Lost,2024-08-20,2024-08-20,113641000.0,,Send revised proposal
LD1111,CV Indo Sukses,Manufacturing,Referral,Yuni Shara,Yogyakarta,2025-01-14,Qualified,2025-01-20,2025-02-04,40595000.0,,Send revised proposal
LD1112,PT HARAPAN BARU,Manufacturing,,Siti Nurhaliza,,2024-12-26,Contacted,2025-03-06,2025-01-01,,,Needs approval from board
LD1113,PT. CENTRAL DISTRIBUSI,Retail,Email Campaign,Budi Santoso,Medan,2024-10-01,Contacted,2024-03-09,2024-01-12,,,Waiting for PO
LD1114,PT. Mitra Sejahtera,Technology,Trade Show,Yuni Shara,Makassar,2025-03-16,Closed Won,2025-04-08,2025-03-30,30406000.0,,
LD1115,PT Harapan Baru,,Referral,Dewi Lestari,,2025-01-23,Qualified,2025-03-25,2025-04-05,75979000.0,,
LD1116,CV Indo Sukses,Technology,Cold Call,Andi Wijaya,Makassar,2024-02-03,Contacted,2024-01-30,2024-03-10,,,Needs approval from board
LD1117,PT. SEJAHTERA BERSAMA,Technology,Cold Call,Yuni Shara,Semarang,2024-05-23,Negotiation,2024-08-20,2024-07-07,9947000.0,,Needs approval from board
LD1118,PT Prima Nusantara,F&B,,Rudi Hartono,Jakarta,2024-10-29,Negotiation,2024-11-08,2024-10-31,95817000.0,,Send revised proposal
LD1119,UD INDO SUKSES,Manufacturing,Trade Show,Ahmad Fauzi,,2024-01-27,Lead In,2024-04-07,2024-04-07,,,Follow up next week
LD1120,PT Sinar Jaya,Manufacturing,Trade Show,Rudi Hartono,Semarang,2024-05-22,Contacted,2024-06-26,2024-06-14,,,Follow up next week
LD1121,CV Prima Nusantara,Healthcare,LinkedIn,Dewi Lestari,Semarang,2024-07-19,Qualified,2024-08-06,2024-07-30,93788000.0,,Client on vacation
LD1122,PT. Anugrah Sentosa,Construction,Cold Call,Siti Nurhaliza,,2024-11-29,Qualified,2025-01-19,,139946000.0,,Waiting for PO
LD1123,PT. Cipta Karya,Retail,,Ahmad Fauzi,Yogyakarta,2025-01-21,Lead In,2025-04-08,2025-03-08,,,VIP client
LD1124,PT. Sejahtera Bersama,Manufacturing,Trade Show,Siti Nurhaliza,Jakarta,2024-12-29,Contacted,2025-03-18,2025-01-31,,,VIP client
LD1125,PT Bumi Perkasa,Education,LinkedIn,Andi Wijaya,Bandung,2025-01-18,Qualified,2025-04-15,2025-03-02,76069000.0,,Follow up next week
LD1126,CV Berkah Mandiri,Finance,Email Campaign,Andi Wijaya,Bandung,2025-03-24,Negotiation,2025-05-21,2025-05-17,19033000.0,,Follow up next week
LD1127,PT. Delta Solusi,Education,Website,Dewi Lestari,Surabaya,2025-02-09,Lead In,2025-04-29,2025-10-05,,,
LD1128,PT. Harapan Baru,Retail,Cold Call,Andi Wijaya,Medan,2024-11-29,Contacted,2024-12-14,2024-12-11,,,Client on vacation
LD1129,PT. Nusantara Jaya,F&B,Partner,Ahmad Fauzi,Medan,2024-10-31,Closed Won,2025-01-15,2025-01-01,21824000.0,,
LD1130,PT. Nusantara Jaya,F&B,Trade Show,Yuni Shara,Semarang,2024-10-07,Qualified,2024-09-06,2024-07-20,130097000.0,,Follow up next week
LD1131,PT. Cipta Karya,Finance,Partner,Siti Nurhaliza,Bandung,2024-10-22,Contacted,2024-12-20,2024-12-07,,,
LD1132,UD Cahaya Abadi,Manufacturing,Cold Call,Siti Nurhaliza,Semarang,2025-03-11,Contacted,2025-03-06,2025-06-18,,,Follow up next week
LD1133,CV Cahaya Abadi,Finance,Email Campaign,Rudi Hartono,Makassar,2025-03-14,Contacted,2025-04-01,2025-03-24,,,Waiting for PO
LD1134,CV Indo Sukses,Manufacturing,Partner,,Bandung,2024-05-18,Closed Lost,2024-10-07,2024-07-10,148888000.0,Chose competitor,
LD1135,PT. Anugrah Sentosa,Education,,Dewi Lestari,Semarang,2025-05-14,Qualified,2025-05-15,2025-05-24,145878000.0,,Client on vacation
LD1136,PT. Anugrah Sentosa,F&B,Referral,,Bandung,2024-12-17,Closed Won,2024-12-24,,94675000.0,,Client on vacation
LD1137,PT. Mitra Sejahtera,Logistics,Referral,Budi Santoso,Denpasar,2024-02-23,Qualified,2024-04-03,,113774000.0,,Client on vacation
LD1139,PT Karya Utama,Construction,Partner,Ahmad Fauzi,Bandung,2024-12-25,Negotiation,2025-03-16,2025-02-03,138144000.0,,Follow up next week
LD1140,CV Central Distribusi,Retail,Referral,Yuni Shara,Denpasar,2024-10-18,Negotiation,2024-10-13,2024-10-27,29920000.0,,
LD1141,CV Cahaya Abadi,Education,,Ahmad Fauzi,Yogyakarta,2025-08-05,Qualified,2025-10-14,2025-10-24,114883000.0,,Needs approval from board
LD1142,PT Prima Nusantara,Technology,LinkedIn,Dewi Lestari,Jakarta,2025-07-04,Proposal Sent,2025-08-09,2025-09-07,13695000.0,,
LD1143,CV Central Distribusi,,Email Campaign,Budi Santoso,,2024-06-28,Contacted,2024-07-16,2024-07-14,,,
LD1144,PT. Delta Solusi,Manufacturing,Referral,Rudi Hartono,,2024-12-09,Closed Won,2025-01-13,2025-01-14,94875000.0,,
LD1145,CV Sinar Jaya,,,Budi Santoso,Yogyakarta,2024-01-13,Contacted,2024-03-14,2024-03-06,,,Follow up next week
LD1146,PT. Prima Nusantara,Finance,Cold Call,Rina Marlina,Jakarta,2025-08-08,Qualified,2025-10-12,,9795000.0,,Follow up next week
LD1147,PT Berkah Mandiri,Retail,Inbound Call,Budi Santoso,Bandung,2024-09-05,Qualified,2024-11-20,2024-11-28,149672000.0,,Waiting for PO
LD1148,PT Delta Solusi,Construction,Referral,,,2025-05-18,Closed Lost,2025-06-06,2025-05-22,134799000.0,Price too high,Needs approval from board
LD1149,PT Karya Utama,Construction,Social Media,Yuni Shara,Bandung,2024-09-24,Closed Won,2024-11-14,2024-10-09,110832000.0,,Follow up next week
LD1150,PT Anugrah Sentosa,,Cold Call,Andi Wijaya,Jakarta,2024-02-04,Contacted,2024-06-29,2024-05-03,,,Needs approval from board
LD1151,CV Karya Utama,Manufacturing,Trade Show,Rina Marlina,Denpasar,2024-02-01,Closed Lost,2024-03-30,2024-02-11,83418000.0,Project cancelled,
LD1152,PT. Cahaya Abadi,,Partner,Ahmad Fauzi,,2024-05-11,Lead In,2024-06-23,2024-06-05,,,Needs approval from board
LD1153,PT Mega Trading,Logistics,Referral,,Bandung,2024-10-07,Contacted,2024-09-06,2024-08-31,,,Send revised proposal
LD1154,PT Indo Sukses,Logistics,Cold Call,Yuni Shara,Yogyakarta,2025-05-03,Contacted,2025-05-12,2025-04-18,,,VIP client
LD1155,CV Bumi Perkasa,,Referral,Rudi Hartono,Yogyakarta,2024-11-22,Proposal Sent,2024-11-26,2024-11-23,148747000.0,,Follow up next week
LD1156,UD DELTA SOLUSI,Retail,LinkedIn,Rina Marlina,Makassar,2024-06-29,Contacted,2024-08-09,2024-08-07,,,Follow up next week
LD1157,PT Sejahtera Bersama,,Referral,Andi Wijaya,Bandung,2024-06-28,Proposal Sent,2024-07-10,2024-07-03,,,Client on vacation
LD1158,CV Nusantara Jaya,F&B,Social Media,,Bandung,2024-04-23,Closed Won,2024-06-09,2024-06-07,57291000.0,,
LD1159,PT Sinar Jaya,Manufacturing,,Andi Wijaya,Surabaya,2025-01-22,Qualified,2025-04-21,,,,Send revised proposal
LD1160,CV Mitra Sejahtera,Retail,,Siti Nurhaliza,Palembang,2024-12-21,Closed Lost,2025-01-12,2024-12-24,101164000.0,,
LD1161,PT PRIMA NUSANTARA,Healthcare,Cold Call,Siti Nurhaliza,Jakarta,2025-07-13,Qualified,2025-09-13,2025-03-08,35386000.0,,
LD1162,CV Anugrah Sentosa,Manufacturing,Email Campaign,Budi Santoso,Bandung,2025-08-31,Closed Lost,2025-11-01,2025-10-06,91883000.0,Chose competitor,
LD1163,CV Prima Nusantara,Construction,Social Media,Siti Nurhaliza,Bandung,2024-02-25,Qualified,2024-04-20,2024-04-25,123937000.0,,Waiting for PO
LD1164,PT Mitra Sejahtera,Retail,,Budi Santoso,Medan,2025-01-14,Closed Won,2025-03-03,2025-02-12,40983000.0,,Needs approval from board
LD1165,CV Sinar Jaya,Retail,,Dewi Lestari,Jakarta,2025-08-09,Closed Won,2025-10-09,,60431000.0,,Needs approval from board
LD1166,PT. Bumi Perkasa,Retail,Referral,Andi Wijaya,Makassar,2024-09-21,Qualified,2024-09-30,2024-10-15,128780000.0,,
LD1167,PT. Cahaya Abadi,,Cold Call,Dewi Lestari,Jakarta,2025-02-07,Closed Won,2025-08-24,2025-08-31,98909000.0,,Client on vacation
LD1168,PT. Mega Trading,Construction,Referral,Yuni Shara,Surabaya,2025-05-18,Closed Won,2025-08-14,2025-08-20,146184000.0,,VIP client
LD1169,PT BERKAH MANDIRI,Technology,Website,Rina Marlina,Palembang,2024-03-08,Qualified,2024-05-12,2024-04-12,117516000.0,,Send revised proposal
LD1170,PT PRIMA NUSANTARA,Retail,Website,Andi Wijaya,,2025-01-16,Proposal Sent,2025-03-15,2025-02-12,130831000.0,,Follow up next week
LD1171,UD Nusantara Jaya,Education,,Rina Marlina,Semarang,2024-01-21,Closed Won,2024-01-18,2024-02-17,3253000.0,,VIP client
LD1172,PT Sejahtera Bersama,Education,Inbound Call,Rina Marlina,,2024-01-08,Proposal Sent,2024-04-02,2024-02-10,89878000.0,,Waiting for PO
LD1173,CV Sejahtera Bersama,Manufacturing,Referral,,Yogyakarta,2025-02-17,Proposal Sent,2025-05-16,2025-05-28,45749000.0,,Client on vacation
LD1174,CV Sejahtera Bersama,,Referral,Rina Marlina,Surabaya,2024-10-27,Lead In,2024-11-13,2024-11-15,,,Client on vacation
LD1175,UD Nusantara Jaya,Technology,,Andi Wijaya,Jakarta,2024-04-30,Qualified,2024-07-21,2024-12-06,141757000.0,,
LD1176,CV Delta Solusi,Retail,Social Media,Siti Nurhaliza,Jakarta,2024-07-03,Negotiation,2024-09-04,2024-08-27,10586000.0,,Needs approval from board
LD1177,CV Berkah Mandiri,Manufacturing,Cold Call,Rudi Hartono,Jakarta,2024-02-08,Proposal Sent,2024-03-27,2024-03-28,134017000.0,,Waiting for PO
LD1178,PT. Sumber Makmur,,LinkedIn,Andi Wijaya,Surabaya,2025-04-11,Negotiation,2025-06-27,2025-04-13,21801000.0,,
LD1179,UD Central Distribusi,Retail,Referral,,Denpasar,2025-01-07,Proposal Sent,2025-09-16,2025-08-08,99972000.0,,
LD1180,UD Harapan Baru,F&B,Cold Call,Ahmad Fauzi,Bandung,2024-05-20,Qualified,2024-03-06,2024-05-21,118144000.0,,Follow up next week
LD1181,PT. Karya Utama,,,Budi Santoso,Jakarta,2024-01-03,Lead In,2024-01-15,,,,Waiting for PO
LD1182,PT Sumber Makmur,Healthcare,Inbound Call,,Jakarta,2024-09-27,Qualified,2024-10-10,2024-08-10,55312000.0,,
LD1183,UD Indo Sukses,F&B,Social Media,Ahmad Fauzi,Denpasar,2024-07-06,Contacted,2024-08-27,,,,
LD1184,CV Central Distribusi,Retail,Website,Ahmad Fauzi,Semarang,2025-03-02,Closed Won,2025-05-03,2025-03-10,58203000.0,,Client on vacation
