lead_id,company_name,industry,lead_source,sales_rep,region,created_date,current_stage,stage_last_updated,last_contact_date,deal_value_raw,lost_reason,notes
LD1500,CV Delta Solusi,,Social Media,Rudi Hartono,bandung,06-23-2024,Closed Lost,2024/09/06,23/08/2024,113449000,Project cancelled,Waiting for PO
LD1316,PT Global Teknindo,Logistics,Website,Andi Wijaya,bandung,01-05-2025,Proposal Sent,19-Mar-2025,,40171000,,
LD1476,PT. Global Teknindo,Manufacturing,Social Media,,jakarta,10-Apr-2025,Qualified,18-May-2025,2025/05/16,43457000,,Client on vacation
LD1182,PT Sumber Makmur,Healthcare,Inbound Call,,jakarta,2024-09-27,Qualified,10-10-2024,10-08-2024,55312000,,
LD1170,PT PRIMA NUSANTARA,retail,Website,Andi Wijaya,,01-16-2025,Proposal Sent,15-Mar-2025,2025/02/12,130831000,,Follow up next week
LD1041,PT. Mitra Sejahtera,Manufacturing,,Siti Nurhaliza,Semarang,03-24-2025,Closed Won,26-May-2025,12-Apr-2025,146026000.0 ,,Waiting for PO
LD1386,PT. Cahaya Abadi,Manufacturing,Inbound Call,Ahmad Fauzi,JAKARTA,07-Apr-2024,Proposal Sent,21-Jun-2024,,146230000,,
LD1630,PT. Cahaya Abadi,,,Rudi Hartono,,03-31-2024,Closed Lost,06-17-2024,2024-07-02,127795000,Project cancelled,VIP client
LD1026,PT. Nusantara Jaya,retail,LinkedIn,budi santoso,,03-May-2025,Lead In,2025-06-18,29-Jun-2025,,,Follow up next week
LD1286,PT Tunas Muda,Manufacturing ,Cold Call,Ahmad Fauzi,Palembang,2024-05-13,Qualified,08-04-2024,2024-08-19,104957000,,Waiting for PO
LD1356,CV Sumber Makmur,Technology,,Budi Santoso,Palembang,06-Nov-2024,Proposal Sent,2025/01/24,09/11/2024,Rp 60.460.000,,
LD1090,PT. Cipta Karya,Manufacturing,Partner,,Makassar,01-09-2025,Negotiation,2025/02/25,01-17-2025,Rp 55.654.000,,Needs approval from board
LD1199,CV Nusantara Jaya,,referral,budi santoso,,2024-11-24,Proposal Sent,07/12/2024,2024-12-22,143529000,,Needs approval from board
LD1772,CV Berkah Mandiri,Logistics,,Andi wijaya,Yogyakarta,2024/02/20,Qualified,13/03/2024,13/03/2024,57548000,,
LD1565,PT. Anugrah Sentosa,Manufacturing,,Dewi Lestari,Surabaya,2024-05-09,Negotiation,07-24-2024,,128303000,,
LD1095,UD Berkah Mandiri,Technology,Cold Call,Rudi Hartono,Palembang,2024/12/16,Proposal Sent,03-13-2025,03-14-2025,104610000,,Client on vacation
LD1302,PT. Anugrah Sentosa,Manufacturing,Cold Call,Dewi Lestari,Denpasar,22-May-2025,Contacted,2025/08/02,2025/05/24,,,Waiting for PO
LD1517,PT Harapan Baru,Retail,referral,Siti Nurhaliza,Semarang,07-24-2024,Contacted,25-Jul-2024,09-Aug-2024,,,
LD1498,PT. Bumi Perkasa,Technology,Partner,Siti Nurhaliza,Jakarta,10-08-2024,Qualified,22-Nov-2024,11/10/2024,92623000,,
LD1020,PT NUSANTARA JAYA,,,budi santoso,Denpasar,06-07-2025,Contacted,2025/08/20,08-31-2025,,,Needs approval from board
LD1843,CV Sumber Makmur,Finance,Website,budi santoso,Semarang,05/08/2025,Closed Won,2025-10-23,,4170000,,Needs approval from board
LD1128,PT. Harapan Baru,retail,Cold Call ,Andi wijaya,Medan,29-Nov-2024,Contacted,2024/12/14,11/12/2024,,,Client on vacation
LD1131,PT. Cipta Karya,Finance,Partner,Siti Nurhaliza,Bandung,22-Oct-2024,Contacted,2024/12/20,07/12/2024,,,
LD1408,PT Cahaya Abadi,Healthcare,,Dewi Lestari,Surabaya,2025-03-28,Negotiation,06-18-2025,27/04/2025,134757000,,
LD1567,UD Tunas Muda,retail,Cold Call ,Ahmad Fauzi,Surabaya,26/05/2024,Closed Won,2024-08-06,05/08/2024,19795000,,Follow up next week
LD1122,PT. Anugrah Sentosa,Construction,Cold Call,Siti Nurhaliza,,29/11/2024,Qualified,19-Jan-2025,,139946000,,Waiting for PO
LD1248,PT Bumi Perkasa,Technology,Trade Show,Rina Marlina,bandung,14/03/2024,Contacted,05-09-2024,2024/04/24,,,
LD1214,UD Cipta Karya,Manufacturing ,Cold Call ,Andi wijaya,Bandung,2024/04/19,Contacted,12-Jul-2024,08/06/2024,,,Needs approval from board
LD1522,CV Berkah Mandiri,Logistics,website,Yuni Shara,Denpasar,12/05/2024,Negotiation,27-Jul-2024,22-Jun-2024,Rp 53.518.000,,Follow up next week
LD1152,PT. Cahaya Abadi,,Partner,Ahmad Fauzi,,11/05/2024,Lead In,06-23-2024,05/06/2024,,,Needs approval from board
LD1690,CV Sumber Makmur,Education,Website,,JAKARTA,07-30-2025,Qualified,2025-10-27,10-28-2025,6425000,,Send revised proposal
LD1673,CV Karya Utama,Retail,Referral,Dewi Lestari,JAKARTA,2024-05-25,Negotiation,14-Jul-2024,14-Jul-2024,5623000.0 ,,Waiting for PO
LD1653,CV Mitra Sejahtera,Finance,Social Media,Dewi Lestari,jakarta,19-Sep-2024,Closed Lost,17/12/2024,2024-09-23,81366000,Chose competitor,
LD1591,PT Delta Solusi,,,Andi Wijaya,,06-May-2024,Lead In,2024/06/03,05-31-2024,,,Client on vacation
LD1313,PT. Karya Utama,Technology,Partner,Siti Nurhaliza,jakarta,2024-10-22,Contacted,2024/12/16,29-Nov-2024,,,VIP client
LD1820,CV Delta Solusi,F&B,Referral,Budi Santoso,bandung,16/07/2025,Closed Won,11-Sep-2025,07/08/2025,97522000,,
LD1578,UD Mitra Sejahtera,Manufacturing,,Dewi Lestari,Medan,04-02-2024,Qualified,2024-04-21,17-Apr-2024,69890000,,VIP client
LD1819,PT Sejahtera Bersama,Manufacturing ,website,budi santoso,,2024-07-04,Closed Won,04-Sep-2024,2024-08-31,85182000,,VIP client
LD1590,UD Delta Solusi,Education,,Budi Santoso,,2025/04/23,Lead In,12/07/2025,03-Jul-2025,,,Follow up next week
LD1735,PT Cipta Karya,Manufacturing ,Cold Call,Dewi Lestari,Semarang,2025-08-16,Contacted,2025-10-17,2025-08-20,,,Needs approval from board
LD1482,PT Tunas Muda,Logistics,,Andi Wijaya,Denpasar,20/11/2024,Contacted,15-Feb-2025,2025/02/09,,,
LD1494,UD Delta Solusi,Healthcare,Partner,,Yogyakarta,05-Oct-2024,Closed Won,24/12/2024,,58691000,,
LD1452,PT Global Teknindo,retail,Referral,Ahmad Fauzi,Jakarta,2024/07/22,Qualified,08-05-2024,,76345000,,
LD1822,PT Delta Solusi,Logistics,,Rudi Hartono,Makassar,2024/08/12,Contacted,02-Oct-2024,2024-08-26,,,Send revised proposal
LD1749,PT Cipta Karya,Finance,,budi santoso,Bandung,07-Apr-2024,Closed Lost,2024-05-20,05-19-2024,20312000,,
LD1178,PT. Sumber Makmur,,LinkedIn,Andi Wijaya,Surabaya,2025-04-11,Negotiation,27-Jun-2025,04-13-2025,21801000,,
LD1683,PT Berkah Mandiri,Technology,Website,Dewi Lestari,,09-02-2024,Lead In,29-Nov-2024,21-Sep-2024,,,
LD1480,PT. Nusantara Jaya,Retail,Inbound Call,Rudi Hartono,jakarta,08-04-2024,Closed Won,31/10/2024,15/08/2024,22977000,,Needs approval from board
LD1223,UD Central Distribusi,Logistics,Cold Call ,Rina Marlina,jakarta,19-Nov-2024,Negotiation,11-21-2024,02-Dec-2024,55517000,,Client on vacation
LD1153,PT Mega Trading,Logistics,referral,,Bandung,07-10-2024,Contacted,06-Sep-2024,31/08/2024,,,Send revised proposal
LD1464,UD Maju Terus,Manufacturing,Cold Call ,Siti Nurhaliza,bandung,2025/05/18,Contacted,06-02-2025,,,,
LD1620,CV Mitra Sejahtera,Logistics,website,Siti Nurhaliza,Semarang,2024/02/05,Negotiation,2024-02-24,03-02-2024,8882000.0 ,,VIP client
LD1132,UD Cahaya Abadi,Manufacturing,Cold Call ,Siti Nurhaliza,Semarang,2025/03/11,Contacted,06-03-2025,2025/06/18,,,Follow up next week
LD1149,PT Karya Utama,Construction,Social Media,Yuni Shara,bandung,24-Sep-2024,Closed Won,11-14-2024,2024-10-09,110832000,,Follow up next week
LD1839,PT Cahaya Abadi,Manufacturing,Trade Show,Ahmad Fauzi,Medan,2025-03-23,Closed Won,2025-05-18,2025-05-01,13682000,,
LD1247,PT. Karya Utama,Logistics,Social Media,budi santoso,Surabaya,2024/10/23,Negotiation,11/11/2024,17/11/2024,9298000,,Follow up next week
LD1834,PT. Central Distribusi,Healthcare,,,Semarang,03-01-2024,Contacted,19-May-2024,2024/04/24,,,Waiting for PO
LD1101,UD Maju Terus,F&B,referral,Andi Wijaya,Semarang,2024/05/01,Qualified,22-May-2024,2024/05/30,106126000,,
LD1566,PT. Indo Sukses,Education,LinkedIn,Yuni Shara,bandung,20/03/2024,Closed Won,27/03/2024,04-05-2024,71810000,,
LD1265,PT Sinar Jaya,Logistics,,Rina Marlina,Denpasar,10-Mar-2024,Qualified,2024/05/14,05-09-2024,51326000,,
LD1833,PT Sejahtera Bersama,Manufacturing ,,Andi Wijaya,,03-03-2024,Qualified,2024-03-14,23/03/2024,129571000,,Follow up next week
LD1712,UD Berkah Mandiri,Finance,,Ahmad Fauzi,Surabaya,2024/10/10,Qualified,11-10-2024,,41477000,,
LD1210,CV Global Teknindo,retail,Email Campaign,Ahmad Fauzi,Makassar,14/06/2024,Proposal Sent,13-Jun-2024,2024/06/16,20927000,,Waiting for PO
LD1443,CV Karya Utama,,Partner,Rudi Hartono,Jakarta,10-May-2024,Contacted,06-Aug-2024,30/07/2024,,,Follow up next week
LD1699,PT Global Teknindo,F&B,LinkedIn,budi santoso,Semarang,2025/08/30,Closed Won,09-03-2025,13-Sep-2025,70551000,,
LD1244,PT. Maju Terus,Technology,Cold Call,Rina Marlina,Makassar,23-Jan-2024,Negotiation,2024/04/21,21/02/2024,Rp 138.029.000,,Waiting for PO
LD1577,PT. DELTA SOLUSI,retail,Email Campaign,Andi Wijaya,Bandung,11/12/2024,Proposal Sent,02-01-2025,2025-02-16,145673000,,
LD1676,CV Anugrah Sentosa,Healthcare,LinkedIn,Dewi Lestari,,04-29-2025,Lead In,26/06/2025,28/06/2025,,,VIP client
LD1392,CV Maju Terus,retail,Inbound Call,Andi Wijaya,Yogyakarta,25/09/2024,Closed Won,28/09/2024,08/10/2024,132982000,,
LD1065,PT Harapan Baru,,,Rina Marlina,bandung,13/12/2024,Contacted,2025/01/04,22/12/2024,,,
LD1261,CV Cahaya Abadi,Retail,Website,Andi Wijaya,,2025-02-23,Qualified,2025-05-11,2025-05-19,Rp 38.218.000,,
LD1429,PT. Nusantara Jaya,F&B,Cold Call ,,,14-Nov-2024,Lead In,2025-01-22,2025/01/19,,,
LD1656,PT BERKAH MANDIRI,Construction,Website,Andi wijaya,Jakarta,2024-04-24,Negotiation,2024-06-16,09-May-2024,109164000,,
LD1235,UD Delta Solusi,Retail,,Dewi Lestari,Jakarta,22/07/2024,Qualified,07-29-2024,2024-08-09,Rp 95.671.000,,Send revised proposal
LD1017,UD Cahaya Abadi,Manufacturing ,referral,,Surabaya,19-Jul-2025,Contacted,2025/08/05,25/07/2025,,,VIP client
LD1652,PT. Karya Utama,Manufacturing,referral,Siti Nurhaliza,Denpasar,2024/10/11,Closed Won,11-05-2024,18/10/2024,Rp 94.727.000,,Send revised proposal
LD1298,UD Nusantara Jaya,Manufacturing,Inbound Call,Rina Marlina,Surabaya,16/04/2024,Negotiation,24-Jun-2024,27/05/2024,118253000,,Follow up next week
LD1174,CV Sejahtera Bersama,,referral,Rina Marlina,Surabaya,2024/10/27,Lead In,11-13-2024,15-Nov-2024,,,Client on vacation
LD1253,CV Karya Utama,Construction,LinkedIn,budi santoso,jakarta,08-20-2024,Qualified,2024-11-02,2024/09/07,145640000,,
LD1163,CV Prima Nusantara,Construction,Social Media,Siti Nurhaliza,Bandung,2024/02/25,Qualified,20-Apr-2024,25/04/2024,Rp 123.937.000,,Waiting for PO
LD1038,PT Mitra Sejahtera,Retail,Inbound Call,Andi wijaya,Makassar,07/11/2024,Negotiation,12-Dec-2024,2024/12/25,7899000,,Waiting for PO
LD1437,PT Harapan Baru,Manufacturing ,Email Campaign,Andi Wijaya,Medan,2025/07/29,Contacted,08-03-2025,2025/07/29,,,
LD1727,PT Berkah Mandiri,Manufacturing,Referral,,Semarang,03-13-2025,Proposal Sent,15-Apr-2025,03-18-2025,33171000,,Client on vacation
LD1552,UD Central Distribusi,Healthcare,Inbound Call,Ahmad Fauzi,Makassar,09-26-2024,Proposal Sent,16-Dec-2024,04-Dec-2024,96382000,,
LD1216,PT Indo Sukses,Finance,Trade Show,Andi wijaya,Denpasar,06/01/2024,Closed Won,25-Jan-2024,24-Jan-2024,Rp 40.938.000,,
LD1073,CV Tunas Muda,Construction,Website,Ahmad Fauzi,Jakarta,06-09-2025,Contacted,04/08/2025,2025-08-12,,,Needs approval from board
LD1767,UD Global Teknindo,Construction,Referral,Andi Wijaya,Jakarta,19/07/2025,Lead In,2025-09-25,2025/09/19,,,Follow up next week
LD1842,PT. Delta Solusi,Healthcare,referral,Andi Wijaya,,2025/01/26,Proposal Sent,03-05-2025,2025/02/22,23969000.0 ,,VIP client
LD1304,UD Maju Terus,,Email Campaign,Siti Nurhaliza,Yogyakarta,2024-12-09,Negotiation,17-Dec-2024,,9631000,,Client on vacation
LD1320,CV Karya Utama,F&B,Referral,Dewi Lestari,Bandung,2024-12-16,Contacted,2024-12-14,,,,
LD1430,PT Mega Trading,,Email Campaign,Siti Nurhaliza,Bandung,16-Apr-2025,Qualified,2025-05-24,05-22-2025,75975000,,Follow up next week
LD1747,UD Berkah Mandiri,Retail,,Ahmad Fauzi,Bandung,28/07/2025,Negotiation,10-12-2025,,109434000,,Waiting for PO
LD1604,PT. Mega Trading,Finance,Inbound Call,Andi Wijaya,bandung,2025/03/16,Closed Won,31/03/2025,03-31-2025,89163000,,Waiting for PO
LD1457,UD Anugrah Sentosa,retail,Referral,Andi wijaya,Surabaya,2025/02/11,Proposal Sent,04-21-2025,02-12-2025,113108000,,VIP client
LD1207,UD Cahaya Abadi,Education,Social Media,Dewi Lestari,JAKARTA,06-18-2024,Negotiation,06-Jul-2024,11-Jul-2024,28513000,,Follow up next week
LD1118,PT Prima Nusantara,F&B,,Rudi Hartono,JAKARTA,2024/10/29,Negotiation,08-Nov-2024,2024-10-31,95817000,,Send revised proposal
LD1421,UD Sinar Jaya,Finance,referral,Yuni Shara,jakarta,07/01/2024,Closed Lost,05/01/2024,01-21-2024,63693000,No response,
LD1845,PT. Global Teknindo,Manufacturing,Referral,Andi Wijaya,,31/03/2025,Closed Lost,2025/06/08,27-May-2025,88972000,Timing not right,VIP client
LD1521,PT. Mitra Sejahtera,Logistics,Inbound Call,Yuni Shara,Medan,2024/05/23,Contacted,2024/08/16,08-08-2024,,,
LD1292,PT. Cipta Karya,Retail,Partner,Dewi Lestari,JAKARTA,2025/02/19,Contacted,2025-05-14,,,,
LD1753,PT DELTA SOLUSI,,referral,Siti Nurhaliza,,15/05/2024,Negotiation,14/06/2024,2024-05-15,112242000,,Client on vacation
LD1511,PT Anugrah Sentosa,Logistics,Partner,Siti Nurhaliza,Jakarta,2024-06-02,Proposal Sent,2024-07-10,,Rp 44.662.000,,Client on vacation
ld1341,UD Tunas Muda,Manufacturing ,,Budi Santoso,Denpasar,02/06/2025,Lead In,07-26-2025,06-25-2025,,,
LD1125,PT Bumi Perkasa,Education,LinkedIn,Andi Wijaya,bandung,01-18-2025,Qualified,15-Apr-2025,2025-03-02,76069000,,Follow up next week
LD1175,UD Nusantara Jaya,Technology,,Andi Wijaya,jakarta,30-Apr-2024,Qualified,21/07/2024,06-12-2024,141757000,,
LD1597,PT Sinar Jaya,Technology,Inbound Call,Rina Marlina,jakarta,2024-05-07,Contacted,10-Jun-2024,06-Jun-2024,,,
LD1211,CV Sejahtera Bersama,Technology,Partner,Andi wijaya,JAKARTA,2025/04/27,Closed Won,2025/05/19,21-May-2025,62793000,,
LD1544,PT. Bumi Perkasa,,Website,Ahmad Fauzi,Jakarta,2025/05/21,Proposal Sent,16-Jun-2025,31-May-2025,131708000,,
ld1703,PT. Sumber Makmur,Finance,Email Campaign,Budi Santoso,JAKARTA,26/09/2024,Qualified,12-20-2024,20/12/2024,63162000,,VIP client
LD1205,UD Karya Utama,Manufacturing ,referral,Rudi Hartono,Palembang,2024-05-17,Proposal Sent,2024/06/29,2024/05/21,70502000,,
LD1109,PT. Mega Trading,retail,,Siti Nurhaliza,Surabaya,07-27-2024,Qualified,08-07-2024,2024-08-19,Rp 127.376.000,,Follow up next week
LD1159,PT Sinar Jaya,Manufacturing ,,Andi wijaya,Surabaya,2025-01-22,Qualified,21/04/2025,,,,Send revised proposal
LD1299,CV Maju Terus,Retail,referral,Rina Marlina,jakarta,16-Mar-2024,Qualified,18-May-2024,,66508000,,
LD1093,CV Harapan Baru,Manufacturing ,Partner,Ahmad Fauzi,jakarta,02-Mar-2025,Proposal Sent,05-30-2025,,90343000,,
LD1382,CV Delta Solusi,Manufacturing,Partner,Andi wijaya,jakarta,2024/10/14,Proposal Sent,31/12/2024,,60621000,,
LD1463,PT. KARYA UTAMA,Construction,referral,Budi Santoso,Surabaya,05-Dec-2024,Qualified,2025-01-06,,104422000,,Waiting for PO
LD1281,PT Mega Trading,Logistics,Partner,Andi Wijaya,Denpasar,20/10/2024,Proposal Sent,06-Nov-2024,12/11/2024,21616000,,Waiting for PO
LD1030,PT. Central Distribusi,Logistics,Cold Call ,,,05-03-2024,Negotiation,2024/07/15,2024/05/22,Rp 56.844.000,,VIP client
LD1162,CV Anugrah Sentosa,Manufacturing ,Email Campaign,budi santoso,Bandung,2025/08/31,Closed Lost,01-Nov-2025,06/10/2025,91883000,Chose competitor,
LD1504,UD Harapan Baru,Manufacturing ,Email Campaign,Ahmad Fauzi,JAKARTA,2025-03-08,Contacted,2025-04-02,2025/03/11,,,
LD1524,CV Anugrah Sentosa,Technology,Trade Show,budi santoso,,19/07/2024,Contacted,2024-09-14,07-30-2024,,,
ld1424,CV Maju Terus,Logistics,Inbound Call,,,01-04-2024,Qualified,2024-04-03,03-09-2024,125642000,,Follow up next week
LD1135,PT. Anugrah Sentosa,Education,,Dewi Lestari,Semarang,14/05/2025,Qualified,2025/05/15,24-May-2025,145878000,,Client on vacation
LD1160,CV Mitra Sejahtera,Retail,,Siti Nurhaliza,Palembang,21-Dec-2024,Closed Lost,12-Jan-2025,12-24-2024,101164000,,
LD1536,CV Karya Utama,Manufacturing,Cold Call,,Bandung,23-Sep-2024,Contacted,2024-11-11,2024/10/24,,,Waiting for PO
LD1503,PT Maju Terus,Construction,Referral,Ahmad Fauzi,Yogyakarta,2025-04-17,Closed Won,2025-05-02,03-May-2025,6231000,,Send revised proposal
LD1040,PT Cipta Karya,Healthcare,Website,Dewi Lestari,Yogyakarta,2024/11/27,Contacted,18/01/2025,01-29-2025,,,
LD1206,PT. Berkah Mandiri,Logistics,Partner,Rudi Hartono,jakarta,2025-02-18,Negotiation,18/03/2025,2025/03/22,149812000,,Needs approval from board
LD1144,PT. Delta Solusi,Manufacturing,Referral,Rudi Hartono,,2024/12/09,Closed Won,2025-01-13,2025-01-14,94875000,,
LD1145,CV Sinar Jaya,,,Budi Santoso,Yogyakarta,01-13-2024,Contacted,03-14-2024,2024-03-06,,,Follow up next week
LD1823,PT Anugrah Sentosa,retail,,Rina Marlina,jakarta,10/07/2024,Proposal Sent,2024-09-05,2024-09-19,135359000,,VIP client
LD1000,CV Bumi Perkasa,Construction,Email Campaign,Siti Nurhaliza,Makassar,2024/04/24,Lead In,2024-05-30,,,,Follow up next week
LD1036,CV Sinar Jaya,Logistics,Referral,Budi Santoso,Medan,03-15-2025,Qualified,06-03-2025,11-Jun-2025,144096000,,Waiting for PO
LD1249,CV PRIMA NUSANTARA,Logistics,LinkedIn,Siti Nurhaliza,Bandung,28/03/2025,Proposal Sent,24/05/2025,,123089000,,Follow up next week
LD1353,PT. Prima Nusantara,Technology,Referral,,Bandung,2025-06-09,Qualified,2025-08-08,2025/08/14,97846000,,
LD1639,CV Maju Terus,Technology,Inbound Call,budi santoso,,25-Nov-2024,Closed Won,23-Feb-2025,2025/01/23,147190000,,
LD1228,PT Global Teknindo,Education,website,,Medan,19/06/2024,Qualified,02/07/2024,2024/06/26,5902000,,Waiting for PO
LD1361,PT Sejahtera Bersama,Finance,Partner,Dewi Lestari,JAKARTA,2024-06-11,Contacted,2024/08/15,07-09-2024,,,Client on vacation
LD1684,CV Delta Solusi,Healthcare,Cold Call ,Siti Nurhaliza,Makassar,20/01/2024,Proposal Sent,2024/02/27,2024-02-21,101107000.0 ,,
LD1732,PT Delta Solusi,Technology,Website,Andi wijaya,Jakarta,11-Feb-2024,Contacted,2024-03-22,04-01-2024,,,Needs approval from board
LD1143,CV Central Distribusi,,Email Campaign,budi santoso,,06-28-2024,Contacted,2024-07-16,2024-07-14,,,
LD1180,UD Harapan Baru,F&B,Cold Call ,Ahmad Fauzi,Bandung,20-May-2024,Qualified,06-03-2024,21/05/2024,118144000,,Follow up next week
LD1651,UD Nusantara Jaya,Technology,LinkedIn,,Bandung,30-Jun-2024,Closed Lost,30-Jul-2024,10-Aug-2024,125993000,Project cancelled,Needs approval from board
LD1425,PT. Bumi Perkasa,,Cold Call,Andi wijaya,Surabaya,2024-02-16,Closed Lost,03-29-2024,2024/02/25,36567000,,
LD1571,CV Harapan Baru,Education,Inbound Call,Budi Santoso,Bandung,2024-03-26,Contacted,2024/04/01,12-Apr-2024,,,Client on vacation
LD1010,CV Nusantara Jaya,Manufacturing,Social Media,Dewi Lestari,,2024/02/25,Proposal Sent,2024-05-18,2024-04-21,61588000,,VIP client
LD1829,CV Cahaya Abadi,Healthcare,referral,Ahmad Fauzi,Medan,05-12-2024,Closed Won,2024/05/18,2024-05-18,109004000,,
LD1158,CV Nusantara Jaya,F&B,Social Media,,bandung,23/04/2024,Closed Won,2024/06/09,07/06/2024,57291000,,
LD1186,PT. Delta Solusi,Healthcare,,Yuni Shara,Semarang,18-May-2025,Qualified,2025-06-30,2025/05/25,97211000,,
LD1542,UD Berkah Mandiri,Technology,LinkedIn,Siti Nurhaliza,Palembang,06-24-2025,Negotiation,2025/09/10,2025/08/19,41839000,,Needs approval from board
LD1157,PT Sejahtera Bersama,,referral,Andi Wijaya,bandung,28/06/2024,Proposal Sent,2024/07/10,03/07/2024,,,Client on vacation
LD1573,UD Anugrah Sentosa,Logistics,Cold Call,Rudi Hartono,Palembang,07-14-2024,Negotiation,2024/07/31,,43287000,,Client on vacation
LD1215,CV Tunas Muda,Finance,Referral,Siti Nurhaliza,Surabaya,2025-01-14,Proposal Sent,17/03/2025,06-Mar-2025,47385000,,VIP client
LD1082,PT Global Teknindo,retail,LinkedIn,Yuni Shara,Surabaya,26/06/2025,Qualified,2025-08-06,14-Jul-2025,110880000,,Send revised proposal
LD1681,PT Prima Nusantara,Finance,,Andi wijaya,Jakarta,2025-07-19,Qualified,07/08/2025,22/07/2025,95076000,,
LD1114,PT. Mitra Sejahtera,Technology,Trade Show,Yuni Shara,Makassar,2025-03-16,Closed Won,2025-04-08,30-Mar-2025,30406000,,
LD1204,CV Delta Solusi,F&B,,Rina Marlina,Medan,11-May-2024,Proposal Sent,06-11-2024,05-11-2024,49032000,,Follow up next week
LD1689,PT Central Distribusi,Technology,website,Siti Nurhaliza,Palembang,05-02-2024,Qualified,06-05-2024,2024-05-31,139972000,,
LD1588,UD Mega Trading,retail,Partner,Ahmad Fauzi,Denpasar,2024-08-18,Lead In,09-29-2024,09-08-2024,,,Send revised proposal
LD1694,UD Central Distribusi,Construction,LinkedIn,Rina Marlina,Yogyakarta,24-Apr-2024,Closed Lost,2024-07-03,29/06/2024,17365000,,Follow up next week
LD1283,UD Karya Utama,Logistics,Trade Show,Budi Santoso,Bandung,2024-06-20,Qualified,2024-08-20,2024/08/07,80813000,,VIP client
LD1076,PT Harapan Baru,Finance,website,budi santoso,Yogyakarta,2024-12-27,Contacted,19-Feb-2025,03-01-2025,,,Needs approval from board
LD1466,UD Karya Utama,Construction,Referral,Andi Wijaya,,09-Mar-2024,Contacted,2024/05/03,04-23-2024,,,Needs approval from board
LD1769,PT Tunas Muda,Retail,Email Campaign,,bandung,24/03/2024,Lead In,04-18-2024,05-03-2024,,,
LD1635,UD Sumber Makmur,,Partner,Rudi Hartono,Yogyakarta,09-Jul-2024,Negotiation,2024/08/04,2024-08-19,121273000,,VIP client
LD1003,UD Mitra Sejahtera,Technology,Referral,budi santoso,Palembang,10-23-2024,Closed Lost,2024-11-22,02/11/2024,58259000,Project cancelled,VIP client
LD1824,PT. Mega Trading,Finance,Inbound Call,Yuni Shara,Yogyakarta,17/05/2024,Negotiation,07-07-2024,2024/07/20,109464000,,Send revised proposal
LD1636,PT. Global Teknindo,Construction,Cold Call ,budi santoso,bandung,07-22-2024,Lead In,2024/10/07,2024/08/08,,,
